chrom, mid , last_posinvariant_count, invariant_num_hom_ref, invariant_num_het, invariant_no_data, invariant_avg_depth, invariant_num_hom_alt, variant_count, variant_num_hom_ref, variant_num_het, variant_no_data, variant_avg_depth, variant_num_hom_alt, 
pseudo0, 1490000.0, 1499934, 15589.0, 0.0, 0.0, 0.0, 266133.0, 0.0, 517.0, 9517.0, 4153.0, 0.0, 10115.0, 773.0, 
pseudo0, 1510000.0, 1499934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1530000.0, 1539999, 32186.0, 0.0, 0.0, 0.0, 503126.0, 0.0, 433.0, 10786.0, 1871.0, 0.0, 6989.0, 1197.0, 
pseudo0, 1550000.0, 1559999, 16280.0, 0.0, 0.0, 0.0, 260868.0, 0.0, 215.0, 4134.0, 1980.0, 0.0, 4100.0, 581.0, 
pseudo0, 1570000.0, 1579999, 16601.0, 0.0, 0.0, 0.0, 240305.0, 0.0, 128.0, 3228.0, 493.0, 0.0, 1921.0, 410.0, 
pseudo0, 1590000.0, 1599999, 15838.0, 0.0, 0.0, 0.0, 243557.0, 0.0, 243.0, 5714.0, 1376.0, 0.0, 4405.0, 799.0, 
pseudo0, 1610000.0, 1619999, 15224.0, 0.0, 0.0, 0.0, 227350.0, 0.0, 298.0, 5277.0, 3005.0, 0.0, 5417.0, 348.0, 
pseudo0, 1630000.0, 1639999, 17152.0, 0.0, 0.0, 0.0, 250890.0, 0.0, 34.0, 847.0, 178.0, 0.0, 509.0, 88.0, 
pseudo0, 1650000.0, 1659999, 17147.0, 0.0, 0.0, 0.0, 242962.0, 0.0, 57.0, 1370.0, 286.0, 0.0, 858.0, 169.0, 
pseudo0, 1670000.0, 1679999, 17485.0, 0.0, 0.0, 0.0, 248782.0, 0.0, 140.0, 2779.0, 1349.0, 0.0, 2420.0, 249.0, 
pseudo0, 1690000.0, 1699999, 13410.0, 0.0, 0.0, 0.0, 189611.0, 0.0, 40.0, 997.0, 118.0, 0.0, 578.0, 174.0, 
pseudo0, 1710000.0, 1719999, 15037.0, 0.0, 0.0, 0.0, 207006.0, 0.0, 51.0, 1302.0, 120.0, 0.0, 721.0, 205.0, 
pseudo0, 1730000.0, 1738270, 13274.0, 0.0, 0.0, 0.0, 192850.0, 0.0, 44.0, 1085.0, 131.0, 0.0, 659.0, 237.0, 
pseudo0, 1750000.0, 1738270, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1770000.0, 1779999, 20816.0, 0.0, 0.0, 0.0, 298704.0, 0.0, 129.0, 3193.0, 578.0, 0.0, 1959.0, 533.0, 
pseudo0, 1790000.0, 1798991, 15384.0, 0.0, 0.0, 0.0, 214367.0, 0.0, 185.0, 4367.0, 571.0, 0.0, 2672.0, 931.0, 
pseudo0, 1810000.0, 1798991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1830000.0, 1798991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1850000.0, 1859999, 28097.0, 0.0, 0.0, 0.0, 409937.0, 0.0, 344.0, 6959.0, 1719.0, 0.0, 5296.0, 1493.0, 
pseudo0, 1870000.0, 1878760, 13422.0, 0.0, 0.0, 0.0, 186356.0, 0.0, 270.0, 5593.0, 1597.0, 0.0, 4382.0, 631.0, 
pseudo0, 1890000.0, 1878760, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1910000.0, 1919926, 25963.0, 0.0, 0.0, 0.0, 356896.0, 0.0, 319.0, 7239.0, 1192.0, 0.0, 4599.0, 1314.0, 
pseudo0, 1930000.0, 1919926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 1950000.0, 1959999, 31095.0, 0.0, 0.0, 0.0, 512779.0, 0.0, 1075.0, 25604.0, 5907.0, 0.0, 17880.0, 1781.0, 
pseudo0, 1970000.0, 1979999, 17390.0, 0.0, 0.0, 0.0, 287037.0, 0.0, 230.0, 5445.0, 1529.0, 0.0, 4240.0, 273.0, 
pseudo0, 1990000.0, 1999999, 17068.0, 0.0, 0.0, 0.0, 258011.0, 0.0, 119.0, 3136.0, 457.0, 0.0, 1870.0, 280.0, 
pseudo0, 2010000.0, 2010390, 9737.0, 0.0, 0.0, 0.0, 150435.0, 0.0, 37.0, 1048.0, 112.0, 0.0, 600.0, 88.0, 
pseudo0, 2030000.0, 2010390, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2050000.0, 2059999, 33113.0, 0.0, 0.0, 0.0, 522179.0, 0.0, 112.0, 3036.0, 514.0, 0.0, 1794.0, 246.0, 
pseudo0, 2070000.0, 2079999, 17949.0, 0.0, 0.0, 0.0, 288001.0, 0.0, 72.0, 2087.0, 233.0, 0.0, 1165.0, 135.0, 
pseudo0, 2090000.0, 2099999, 17383.0, 0.0, 0.0, 0.0, 297282.0, 0.0, 720.0, 21359.0, 2248.0, 0.0, 13553.0, 585.0, 
pseudo0, 2110000.0, 2119999, 16494.0, 0.0, 0.0, 0.0, 278236.0, 0.0, 763.0, 22635.0, 2213.0, 0.0, 13733.0, 639.0, 
pseudo0, 2130000.0, 2138868, 11230.0, 0.0, 0.0, 0.0, 218237.0, 0.0, 265.0, 6006.0, 2486.0, 0.0, 5824.0, 213.0, 
pseudo0, 2150000.0, 2138868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2170000.0, 2138868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2190000.0, 2179233, 4284.0, 0.0, 0.0, 0.0, 100913.0, 0.0, 761.0, 8707.0, 13429.0, 0.0, 20375.0, 1801.0, 
pseudo0, 2210000.0, 2179233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2230000.0, 2219946, 4822.0, 0.0, 0.0, 0.0, 72807.0, 0.0, 193.0, 1200.0, 3019.0, 0.0, 3138.0, 1648.0, 
pseudo0, 2250000.0, 2219946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2270000.0, 2279999, 11731.0, 0.0, 0.0, 0.0, 153321.0, 0.0, 641.0, 5162.0, 8117.0, 0.0, 9258.0, 4887.0, 
pseudo0, 2290000.0, 2299999, 9569.0, 0.0, 0.0, 0.0, 147676.0, 0.0, 334.0, 3204.0, 4296.0, 0.0, 5421.0, 3060.0, 
pseudo0, 2310000.0, 2319999, 10315.0, 0.0, 0.0, 0.0, 175790.0, 0.0, 500.0, 5635.0, 7665.0, 0.0, 9082.0, 1282.0, 
pseudo0, 2330000.0, 2339999, 17862.0, 0.0, 0.0, 0.0, 270644.0, 0.0, 221.0, 3472.0, 2105.0, 0.0, 3362.0, 1582.0, 
pseudo0, 2350000.0, 2339999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2370000.0, 2339999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2390000.0, 2368045, 443.0, 0.0, 0.0, 0.0, 5436.0, 0.0, 12.0, 200.0, 94.0, 0.0, 202.0, 0.0, 
pseudo0, 2410000.0, 2368045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2430000.0, 2439999, 24955.0, 0.0, 0.0, 0.0, 352604.0, 0.0, 820.0, 5845.0, 11058.0, 0.0, 11840.0, 9152.0, 
